과목명,강사,url
엑셀로 맛보는 딥러닝,멋진,https://www.inflearn.com/course/%EC%97%91%EC%85%80%EB%A1%9C-%EB%A7%9B%EB%B3%B4%EB%8A%94-%EB%94%A5%EB%9F%AC%EB%8B%9D
모두를 위한 딥러닝 - 기본적인 머신러닝과 딥러닝 강좌,Sung Kim,https://www.inflearn.com/course/%EA%B8%B0%EB%B3%B8%EC%A0%81%EC%9D%B8-%EB%A8%B8%EC%8B%A0%EB%9F%AC%EB%8B%9D-%EB%94%A5%EB%9F%AC%EB%8B%9D-%EA%B0%95%EC%A2%8C
U-Net 구현으로 배우는 딥러닝 논문 구현 with TensorFlow 2.0 - 딥러닝 의료영상 분석,AISchool,https://www.inflearn.com/course/%EC%9C%A0%EB%84%B7-%EB%94%A5%EB%9F%AC%EB%8B%9D-%EB%85%BC%EB%AC%B8%EA%B5%AC%ED%98%84
인공지능을 활용한 이상거래 검출 기법,YoungJea Oh,https://www.inflearn.com/course/%EC%9D%B8%EA%B3%B5%EC%A7%80%EB%8A%A5-%EC%9D%B4%EC%83%81%EA%B1%B0%EB%9E%98-%EA%B2%80%EC%B6%9C
[PY 0205] 인공지능을 위한 파이썬 레벨4 - 객체와 클래스,공대형아(신경식),https://www.inflearn.com/course/py-0205-%ED%8C%8C%EC%9D%B4%EC%8D%AC-%EB%A0%88%EB%B2%A84
비전공자를 위한 수학 통계 기초(이론),SW School,https://www.inflearn.com/course/%EB%B9%84%EC%A0%84%EA%B3%B5%EC%9E%90%EB%A5%BC-%EC%9C%84%ED%95%9C-%EC%88%98%ED%95%99-%ED%86%B5%EA%B3%84-%EA%B8%B0%EC%B4%88-%EC%9D%B4%EB%A1%A0
30분 요약 강좌 시즌3 : 초급자를 위한 손에 잡히는 딥러닝!,제주코딩베이스캠프,https://www.inflearn.com/course/30%EB%B6%84-%EC%8B%9C%EC%A6%8C3-%EC%B4%88%EA%B8%89-%EB%94%A5%EB%9F%AC%EB%8B%9D
[10월 정기 교육 세션 다시보기] LLM(거대 언어 모델)과 데이터 분석의 자동화,HEARTCOUNT,https://www.inflearn.com/course/10%EC%9B%94%EC%A0%95%EA%B8%B0-%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D-%EC%9E%90%EB%8F%99%ED%99%94
"핵심만 빠르게, 입문자를 위한 딥러닝(Deep Learning)과 텐서플로(TensorFlow)",Jiwoon Jeong,https://www.inflearn.com/course/%ED%95%B5%EC%8B%AC-%EC%9E%85%EB%AC%B8-%EB%94%A5%EB%9F%AC%EB%8B%9D-%ED%85%90%EC%84%9C%ED%94%8C%EB%A1%9C
머신러닝 이론 및 파이썬 실습,Minsuk Heo,https://www.inflearn.com/course/%EB%A8%B8%EC%8B%A0%EB%9F%AC%EB%8B%9D%EC%9D%B4%EB%A1%A0-%ED%8C%8C%EC%9D%B4%EC%8D%AC%EC%8B%A4%EC%8A%B5
CUDA 프로그래밍 (0) - C/C++/GPU 병렬 컴퓨팅 - 공개 샘플 강의,드립커피+한모금더,https://www.inflearn.com/course/cuda-%ED%94%84%EB%A1%9C%EA%B7%B8%EB%9E%98%EB%B0%8D-%EC%86%8C%EA%B0%9C
모두를 위한 딥러닝 - Deep Reinforcement Learning,Sung Kim,https://www.inflearn.com/course/reinforcement-learning
파이썬 기초 라이브러리부터 쌓아가는 머신러닝,거친코딩,https://www.inflearn.com/course/%ED%8C%8C%EC%9D%B4%EC%8D%AC-%EB%A8%B8%EC%8B%A0%EB%9F%AC%EB%8B%9D
강화학습 기초 이론,팡요랩,https://www.inflearn.com/course/%EA%B0%95%ED%99%94%ED%95%99%EC%8A%B5
머신러닝/딥러닝으로 이어지는 선형대수,딥러닝호형,https://www.inflearn.com/course/%EB%94%A5%EB%9F%AC%EB%8B%9D-%EC%84%A0%ED%98%95%EB%8C%80%EC%88%98
삼각형의 실전! OpenAI Triton 초급,삼각형,https://www.inflearn.com/course/%EC%82%BC%EA%B0%81%ED%98%95-openai-triton-%EC%B4%88%EA%B8%89
[PL 0301] 파이썬 가상환경과 아나콘다,공대형아(신경식),https://www.inflearn.com/course/%ED%8C%8C%EC%9D%B4%EC%8D%AC-%EA%B0%80%EC%83%81%ED%99%98%EA%B2%BD-%EC%95%84%EB%82%98%EC%BD%98%EB%8B%A4
[PY 0203] 디버깅 기초,공대형아(신경식),https://www.inflearn.com/course/py-0201-%EB%94%94%EB%B2%84%EA%B9%85-%EA%B8%B0%EC%B4%88
딥러닝 이론 + PyTorch 실무 완전 정복,변정현,https://www.inflearn.com/course/%EB%94%A5%EB%9F%AC%EB%8B%9D-%EC%9D%B4%EB%A1%A0-%ED%8C%8C%EC%9D%B4%ED%86%A0%EC%B9%98-%EC%8B%A4%EB%AC%B4-%EC%A0%95%EB%B3%B5
[개념부터 실습까지] 추천 시스템 입문편,데이터리안,https://www.inflearn.com/course/%EC%B6%94%EC%B2%9C-%EC%8B%9C%EC%8A%A4%ED%85%9C-%EC%9E%85%EB%AC%B8%ED%8E%B8
상상을 현실로! 스테이블 디퓨전 기본 클래스,A1,https://www.inflearn.com/course/a1-%EC%8A%A4%ED%85%8C%EC%9D%B4%EB%B8%94%EB%94%94%ED%93%A8%EC%A0%84-%EA%B8%B0%EB%B3%B8
딥러닝 차세대 혁신기술 - 물리 정보 신경망 입문과 Pytorch 실습,딥러닝호형,https://www.inflearn.com/course/%EB%94%A5%EB%9F%AC%EB%8B%9D-%ED%98%81%EC%8B%A0%EA%B8%B0%EC%88%A0-%EB%AC%BC%EB%A6%AC%EC%A0%95%EB%B3%B4%EC%8B%A0%EA%B2%BD%EB%A7%9D-%EC%9E%85%EB%AC%B8
실전 인공지능으로 이어지는 딥러닝 개념 잡기,딥러닝호형,https://www.inflearn.com/course/%EB%94%A5%EB%9F%AC%EB%8B%9D-%EA%B0%9C%EB%85%90
최신 빅데이터 및 인공지능 트렌드 이해,YoungJea Oh,https://www.inflearn.com/course/%EB%B9%84%EC%A0%84%EB%AC%B8%EA%B0%80-%EB%B9%85%EB%8D%B0%EC%9D%B4%ED%84%B0-%EC%9D%B8%EA%B3%B5%EC%A7%80%EB%8A%A5-%ED%8A%B8%EB%A0%8C%EB%93%9C-%EC%9D%B4%ED%95%B4
[Pytorch] 파이토치를 활용한 딥러닝 모델 구축,YoungJea Oh,https://www.inflearn.com/course/%ED%8C%8C%EC%9D%B4%ED%86%A0%EC%B9%98-%EB%94%A5%EB%9F%AC%EB%8B%9D-%EB%AA%A8%EB%8D%B8%EA%B5%AC%EC%B6%95
하루만에 끝내는 생성형 AI 핵심 정리,dualjkorea,https://www.inflearn.com/course/%EC%83%9D%EC%84%B1%ED%98%95-ai-%ED%95%B5%EC%8B%AC-%EC%A0%95%EB%A6%AC
[파이썬] 수학없이 머신러닝 쉽게 이해하고 구현하기,딥러닝호형,https://www.inflearn.com/course/%ED%8C%8C%EC%9D%B4%EC%8D%AC-%EC%88%98%ED%95%99%EC%97%86%EC%9D%B4-%EB%A8%B8%EC%8B%A0%EB%9F%AC%EB%8B%9D-%EC%9D%B4%ED%95%B4%ED%95%98%EA%B3%A0-%EA%B5%AC%ED%98%84%ED%95%98%EA%B8%B0
게임기획자를 위한 강화학습 : AI 마리오 에이전트 키우기,인공지능 교수 제이,https://www.inflearn.com/course/%EA%B2%8C%EC%9E%84%EA%B8%B0%ED%9A%8D%EC%9E%90-%EA%B0%95%ED%99%94%ED%95%99%EC%8A%B5-ai-%EB%A7%88%EB%A6%AC%EC%98%A4%EC%97%90%EC%9D%B4%EC%A0%84%ED%8A%B8
JavaScript와 Tensorflow.js로 배우는 머신러닝,YoungJea Oh,https://www.inflearn.com/course/javascript-tensorflow-%EB%B0%B0%EC%9A%B0%EB%8A%94-%EB%A8%B8%EC%8B%A0%EB%9F%AC%EB%8B%9D
케라스를 이용한 딥러닝,김정인,https://www.inflearn.com/course/%EC%BC%80%EB%9D%BC%EC%8A%A4%EB%A5%BC-%EC%9D%B4%EC%9A%A9%ED%95%9C-%EB%94%A5%EB%9F%AC%EB%8B%9D
딥러닝과 데이터분석을 위한 기초수학 (w.파이썬),SK엠앤서비스,https://www.inflearn.com/course/%EB%94%A5%EB%9F%AC%EB%8B%9D-%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D-%EA%B8%B0%EC%B4%88%EC%88%98%ED%95%99-%ED%8C%8C%EC%9D%B4%EC%8D%AC
TensorFlow 2.0으로 배우는 딥러닝 입문,AISchool,https://www.inflearn.com/course/%ED%85%90%EC%84%9C%ED%94%8C%EB%A1%9C-%EB%94%A5%EB%9F%AC%EB%8B%9D-%EC%9E%85%EB%AC%B8
인공지능은 어떻게 학습할까? - 재미로 배우는 AI 원리,AI Castle,https://www.inflearn.com/course/%EC%9D%B8%EA%B3%B5%EC%A7%80%EB%8A%A5-ai-%EC%9B%90%EB%A6%AC
AI 웹 프로그래밍 (Streamlit),김석훈,https://www.inflearn.com/course/ai-%EC%9B%B9-%ED%94%84%EB%A1%9C%EA%B7%B8%EB%9E%98%EB%B0%8D-streamlit
직관적으로 이해하는 딥러닝 트랜스포머,코드없는 프로그래밍,https://www.inflearn.com/course/%EC%A7%81%EA%B4%80%EC%A0%81%EC%9C%BC%EB%A1%9C-%EC%9D%B4%ED%95%B4%ED%95%98%EB%8A%94-%EB%94%A5%EB%9F%AC%EB%8B%9D-%ED%8A%B8%EB%9E%9C%EC%8A%A4%ED%8F%AC%EB%A8%B8
데이터 리터러시의 이해,부산대학교 소프트웨어융합교육원,https://www.inflearn.com/course/%EB%8D%B0%EC%9D%B4%ED%84%B0-%EB%A6%AC%ED%84%B0%EB%9F%AC%EC%8B%9C-%EC%9D%B4%ED%95%B4-%EC%98%A4%EB%A0%8C%EC%A7%803
두근두근 인공지능 - 개념편 -,SK엠앤서비스,https://www.inflearn.com/course/%EB%91%90%EA%B7%BC%EB%91%90%EA%B7%BC-%EC%9D%B8%EA%B3%B5%EC%A7%80%EB%8A%A5-%EA%B0%9C%EB%85%90
Python을 이용한 딥러닝 활용,SW School,https://www.inflearn.com/course/%ED%8C%8C%EC%9D%B4%EC%8D%AC-%EC%9D%B4%EC%9A%A9%ED%95%9C-%EB%94%A5%EB%9F%AC%EB%8B%9D-%ED%99%9C%EC%9A%A9
뿌리 깊은 딥러닝,GIST-ACSL,https://www.inflearn.com/course/%EB%BF%8C%EB%A6%AC%EA%B9%8A%EC%9D%80-%EB%94%A5%EB%9F%AC%EB%8B%9D
Python Streamlit을 활용한 대시보드 만들기 (feat. 빅데이터 분석기사 실기 준비),Evan,https://www.inflearn.com/course/python-streamlit-%EB%8C%80%EC%8B%9C%EB%B3%B4%EB%93%9C-%EB%A7%8C%EB%93%A4%EA%B8%B0
