과목명,강사,url
블록체인 노드 블록 스캐너 만들기,July,https://www.inflearn.com/course/%EB%B8%94%EB%A1%9D%EC%B2%B4%EC%9D%B8-%EA%B0%9C%EB%B0%9C-scope-%EB%A7%8C%EB%93%A4%EA%B8%B0
"[관리코스 #2] DBA (ERD, 데이터베이스 설계)",개발자Park,https://www.inflearn.com/course/%EA%B4%80%EB%A6%AC%EC%BD%94%EC%8A%A4-2-dba
윤재성의 처음 시작하는 MySQL DataBase,소프트캠퍼스,https://www.inflearn.com/course/mysql
깡샘의 쌩초보 안드로이드 One Day Class – Part7 파이어베이스와 연동하기,쌤즈(SSAMZ),https://www.inflearn.com/course/%EA%B9%A1%EC%83%98%EC%9D%98-%EC%8C%A9%EC%B4%88%EB%B3%B4-%EC%95%88%EB%93%9C%EB%A1%9C%EC%9D%B4%EB%93%9C-part7
SQL 코딩테스트를 위한 마지막 걸음,Gemma,https://www.inflearn.com/course/sql-%EC%BD%94%EB%94%A9%ED%85%8C%EC%8A%A4%ED%8A%B8-%EB%A7%88%EC%A7%80%EB%A7%89-%EA%B1%B8%EC%9D%8C
SQL 왕초보를 위한 해커랭크로 배우는 실전 SQL,글로우양양,https://www.inflearn.com/course/%EC%99%95%EC%B4%88%EB%B3%B4-%ED%95%B4%EC%BB%A4%EB%9E%AD%ED%81%AC-%EC%8B%A4%EC%A0%84-sql
데이터베이스 MariaDB(마리아디비),개발자Park,https://www.inflearn.com/course/%EB%A7%88%EB%A6%AC%EC%95%84%EB%94%94%EB%B9%84-%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8
"필요할 때 찾아 쓰는 SQL 쿼리북, Part I",소프트웨어알림장,https://www.inflearn.com/course/%ED%95%84%EC%9A%94%ED%95%A0%EB%95%8C-%EC%B0%BE%EC%95%84%EC%93%B0%EB%8A%94-sql%EC%BF%BC%EB%A6%AC%EB%B6%81-part-1
노션(Notion) 데이터베이스 - 입문편,유용한IT학습,https://www.inflearn.com/course/%EB%85%B8%EC%85%98-%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B2%A0%EC%9D%B4%EC%8A%A4-%EC%9E%85%EB%AC%B8
Entity Framework Core DB 성능 튜닝 (for SQL Server),김정선SQL,https://www.inflearn.com/course/entity-framework-core-db-%EC%84%B1%EB%8A%A5-%ED%8A%9C%EB%8B%9D
